id;plan;planTitle;version;versionTitle;title;parent;testUnits;controls;terms;okso;speciality;profileCode;profile;level;groupID;groupTitle;allload;allaudit;self;lecture;practice;labs;contactTotal;contactSelf;contactControl;contactLecture;contactPractice;contactLabs;tl1;tl2;tl3;tl4;tl5;tl6;tl7;tl8;tl9;tl10;tl11;tl12;gosLoadInTestUnits;ttu1;ttu2;ttu3;ttu4;ttu5;ttu6;ttu7;ttu8;ttu9;ttu10;ttu11;ttu12;modulePriority;index;controls_list;planType
unpled195e3pg0000of7ejouutvvf31g;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Экономика инженерии;unpled195e3pg0000of7ejos0ap7l4lc;2;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;72;34;38;17;17;0;39.35;5.10;0.25;17.00;17.00;null;null;null;null;null;null;null;null;null;null;null;null;null;2;0;0;0;2;0;0;0;0;0;0;0;0;1;М.1.5;;модульный
unpled195e3pg0000of7ejovu7p1gatg;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Научно-фундаментальные основы профессиональной деятельности;unpled195e3pg0000of7ejos0ap7l4lc;12;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;432;204;228;85;102;17;239.51;30.60;4.91;85.00;102.00;17.00;null;null;null;null;null;null;null;null;null;null;null;null;12;10;2;0;0;0;0;0;0;0;0;0;0;1;М.1.7;;модульный
unpled195e3pg0000of7ejoveuuoahi4;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Естественнонаучное мировоззрение;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;34;0;58.90;7.65;0.25;17.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;0;3;0;0;0;0;0;0;0;0;1;М.1.6;;модульный
unpled195e3pg0000of7ejp0uussc2as;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Иностранный язык;unpled195e3pg0000of7ejos0ap7l4lc;8;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;288;136;152;0;136;0;158.98;20.40;2.58;null;136.00;null;null;null;null;null;null;null;null;null;null;null;null;null;8;4;4;0;0;0;0;0;0;0;0;0;0;2;М.1.8;;модульный
unpled195e3pg0000of7ejp1e8psjprk;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Безопасность жизнедеятельности;unpled195e3pg0000of7ejos0ap7l4lc;2;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;72;34;38;17;17;0;39.35;5.10;0.25;17.00;17.00;null;null;null;null;null;null;null;null;null;null;null;null;null;2;0;2;0;0;0;0;0;0;0;0;0;0;3;М.1.9;;модульный
unpled195e3pg0000of7ejp25vl38bd0;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Информационные технологии и сервисы;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;51;57;17;0;34;58.90;7.65;0.25;17.00;null;34.00;null;null;null;null;null;null;null;null;null;null;null;null;3;3;0;0;0;0;0;0;0;0;0;0;0;6;М.1.10;;модульный
unpled195e3pg0000of7ejp2mihv59lo;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Дополнительные главы математики;unpled195e3pg0000of7ejos0ap7l4lc;4;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;144;68;76;34;34;0;78.45;10.20;0.25;34.00;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;4;0;4;0;0;0;0;0;0;0;0;0;0;10;М.1.11;;модульный
unpled195e3pg0000of7ejp3695b5bh4;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Программирование;unpled195e3pg0000of7ejos0ap7l4lc;10;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;360;136;224;0;0;136;161.06;20.40;4.66;null;null;136.00;null;null;null;null;null;null;null;null;null;null;null;null;10;6;4;0;0;0;0;0;0;0;0;0;0;12;М.1.12;;модульный
unpled195e3pg0000of7ejp3thcsb1cg;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Векторный анализ;unpled195e3pg0000of7ejos0ap7l4lc;6;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;216;102;114;34;68;0;119.63;15.30;2.33;34.00;68.00;null;null;null;null;null;null;null;null;null;null;null;null;null;6;0;6;0;0;0;0;0;0;0;0;0;0;14;М.1.13;;модульный
unpled195e3pg0000of7ejp4l17gihus;unplan195e3pg0000nhroa5lt9465s04;№ 8169  (очн);unplvp195e3pg0000of7ej1rsn30lv4k;№ 3  (очн);Введение в специальность;unpled195e3pg0000of7ejos0ap7l4lc;3;;;09.03.04;Программная инженерия;09.03.04/33.01;Программная инженерия;Бакалавр;undigr195e3pg0000ntnb89qvhen8q0k;РИ-220944;108;34;74;34;0;0;39.35;5.10;0.25;34.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;0;0;3;0;0;0;0;0;0;0;0;0;88;М.1.14;;модульный
